text1,text2,prediction,probab_0,probab_1
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,1,0.22650444507598877,0.7734955549240112
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,1,0.04774564877152443,0.9522544145584106
"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,1,0.06584678590297699,0.9341531991958618
"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,1,0.06204426288604736,0.9379557371139526
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,1,0.05227974057197571,0.9477202296257019
An old man with a package poses in front of an advertisement.,A man walks by an ad.,1,0.05678178742527962,0.9432181715965271
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,1,0.07316219806671143,0.9268378019332886
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,1,0.05333676561713219,0.9466632008552551
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,1,0.3671603202819824,0.6328396797180176
A land rover is being driven across a river.,A vehicle is crossing a river.,1,0.10340780019760132,0.8965921998023987
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,1,0.05031639337539673,0.949683666229248
A man playing an electric guitar on stage.,A man playing banjo on the floor.,1,0.101630300283432,0.8983697295188904
A man playing an electric guitar on stage.,A man playing guitar on stage.,1,0.2993059456348419,0.7006940245628357
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,1,0.05916028469800949,0.9408397078514099
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,1,0.04729985445737839,0.9527001976966858
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,1,0.08655765652656555,0.9134423732757568
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,0,0.5056912302970886,0.49430885910987854
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,1,0.13956931233406067,0.8604306578636169
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,1,0.07432498037815094,0.9256750345230103
A couple walk hand in hand down a street.,A couple is walking together.,1,0.1805976778268814,0.819402277469635
A couple walk hand in hand down a street.,A couple is sitting on a bench.,1,0.10992661118507385,0.8900734186172485
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,1,0.05506371334195137,0.9449363350868225
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,1,0.08768776059150696,0.9123122692108154
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,1,0.08784431964159012,0.9121556878089905
A man reads the paper in a bar with green lighting.,The man is inside.,1,0.1074417307972908,0.8925582766532898
A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,1,0.06331314891576767,0.9366868734359741
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,1,0.12251584231853485,0.877484142780304
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,1,0.06761519610881805,0.9323847889900208
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,1,0.3499308228492737,0.6500691771507263
