text,prediction,probab_0,probab_1
"simplistic , silly and tedious .",0,0.7076416015625,0.2923583686351776
"it's so laddish and juvenile , only teenage boys could possibly find it funny .",1,0.36587077379226685,0.6341292262077332
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,0,0.6020946502685547,0.3979053795337677
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",0,0.5456437468528748,0.45435625314712524
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,0,0.678144097328186,0.3218558728694916
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",1,0.21238328516483307,0.7876167297363281
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,1,0.35630354285240173,0.6436965465545654
not so much farcical as sour .,1,0.2931342124938965,0.7068657875061035
unfortunately the story and the actors are served with a hack script .,0,0.5636342763900757,0.4363658130168915
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1,0.24593983590602875,0.7540601491928101
a sentimental mess that never rings true .,0,0.6257497668266296,0.37425023317337036
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",0,0.7445346713066101,0.2554653286933899
"interesting , but not compelling .",0,0.706602931022644,0.29339703917503357
"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.446816086769104,0.5531839728355408
"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",0,0.6446205377578735,0.35537952184677124
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,1,0.4649895429611206,0.5350104570388794
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",1,0.2820611000061035,0.7179388403892517
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",0,0.598590075969696,0.40140989422798157
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",1,0.24012097716331482,0.7598790526390076
this 100-minute movie only has about 25 minutes of decent material .,1,0.36613741517066956,0.6338626146316528
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,0,0.6409821510314941,0.3590177893638611
"on its own , it's not very interesting . as a remake , it's a pale imitation .",0,0.5866782069206238,0.4133218228816986
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,1,0.4455762505531311,0.5544237494468689
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",0,0.6606666445732117,0.33933335542678833
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",0,0.6733086705207825,0.3266913592815399
the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,0,0.5221129655838013,0.47788700461387634
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . ',1,0.27422553300857544,0.7257744669914246
"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",1,0.42396214604377747,0.5760378837585449
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",1,0.4134371876716614,0.5865628123283386
"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",1,0.26467597484588623,0.7353240847587585
"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0,0.5938605666160583,0.40613946318626404
the action clichÈs just pile up .,1,0.1684131622314453,0.8315868377685547
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",0,0.5210897922515869,0.4789101481437683
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,1,0.4883584678173065,0.5116415619850159
another useless recycling of a brutal mid-'70s american sports movie .,0,0.6021676063537598,0.39783236384391785
i didn't laugh . i didn't smile . i survived .,1,0.20930233597755432,0.7906976938247681
"please , someone , stop eric schaeffer before he makes another film .",0,0.5348351001739502,0.4651649594306946
"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",0,0.5357409715652466,0.4642590284347534
". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",1,0.3206629455089569,0.6793370842933655
curling may be a unique sport but men with brooms is distinctly ordinary .,0,0.7472069263458252,0.2527931034564972
"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",1,0.4722591042518616,0.5277408957481384
there's no getting around the fact that this is revenge of the nerds revisited -- again .,1,0.2715141177177429,0.7284858822822571
"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",0,0.5962190628051758,0.40378087759017944
"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",0,0.5400177836418152,0.4599821865558624
"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",1,0.3752719461917877,0.6247281432151794
"stinks from start to finish , like a wet burlap sack of gloom .",1,0.20647768676280975,0.7935223579406738
"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",0,0.5880798101425171,0.4119201600551605
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,1,0.3875068128108978,0.6124931573867798
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,0,0.6618869304656982,0.33811303973197937
everything is off .,1,0.2443336546421051,0.7556663155555725
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0,0.570069432258606,0.42993056774139404
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",0,0.8008282780647278,0.19917170703411102
effective but too-tepid biopic,1,0.33432039618492126,0.6656795740127563
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",0,0.5933260917663574,0.40667393803596497
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",0,0.691404402256012,0.30859556794166565
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0,0.8107298016548157,0.18927021324634552
offers that rare combination of entertainment and education .,0,0.8444938063621521,0.1555061787366867
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.3742165267467499,0.6257835030555725
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,0.3379630744457245,0.6620369553565979
take care of my cat offers a refreshingly different slice of asian cinema .,0,0.8446532487869263,0.15534676611423492
"this is a film well worth seeing , talking and singing heads and all .",0,0.8497794270515442,0.15022051334381104
what really surprises about wisegirls is its low-key quality and genuine tenderness .,0,0.7840098142623901,0.21599017083644867
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,0.4683694541454315,0.5316305756568909
"one of the greatest family-oriented , fantasy-adventure movies ever .",0,0.8532682061195374,0.14673180878162384
"ultimately , it ponders the reasons we need stories so much .",1,0.3249160647392273,0.6750839352607727
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,0,0.8111379146575928,0.18886207044124603
illuminating if overly talky documentary .,0,0.6546452045440674,0.3453547954559326
a masterpiece four years in the making .,0,0.8458021879196167,0.1541977971792221
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",0,0.5656041502952576,0.43439584970474243
offers a breath of the fresh air of true sophistication .,0,0.6972551941871643,0.3027448356151581
"a thoughtful , provocative , insistently humanizing film .",0,0.8653090596199036,0.13469091057777405
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0,0.8271629810333252,0.172837033867836
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,0,0.8243697285652161,0.17563025653362274
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",0,0.5740032196044922,0.4259968101978302
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0,0.804463267326355,0.195536807179451
"occasionally melodramatic , it's also extremely effective .",0,0.6260611414909363,0.37393882870674133
spiderman rocks,1,0.4615558385848999,0.5384441614151001
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,0,0.8403362035751343,0.1596638262271881
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",0,0.7377051711082458,0.2622947692871094
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,0.4379024803638458,0.5620975494384766
"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.2502138912677765,0.7497860789299011
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0,0.8658714890480042,0.13412848114967346
"light , cute and forgettable .",0,0.7760699987411499,0.2239300012588501
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.4554966688156128,0.5445033311843872
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",0,0.7158440351486206,0.2841559648513794
"though everything might be literate and smart , it never took off and always seemed static .",1,0.37501296401023865,0.624987006187439
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",0,0.6113322973251343,0.38866761326789856
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.3826827108860016,0.617317259311676
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0,0.8565886616706848,0.1434112936258316
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",0,0.522614598274231,0.47738543152809143
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",0,0.7928206920623779,0.20717935264110565
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",0,0.6505125164985657,0.3494874835014343
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0,0.5680803060531616,0.4319196939468384
"compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.35867416858673096,0.641325831413269
the film makes a strong case for the importance of the musicians in creating the motown sound .,0,0.8390641808509827,0.16093583405017853
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.4657222032546997,0.5342778563499451
gosling provides an amazing performance that dwarfs everything else in the film .,0,0.8881147503852844,0.11188527941703796
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",0,0.7827994227409363,0.21720057725906372
tender yet lacerating and darkly funny fable .,0,0.840965747833252,0.15903428196907043
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,0.463249534368515,0.5367503762245178
